timestamp,val_loss,val_acc,macro_f1,weighted_f1,micro_precision,micro_recall,micro_f1,epochs_trained,best_epoch,epochs,batch,max_len,min_freq,lr,embed,filters,filter_sizes,dropout,stratify,val_frac,train_csv,val_csv,test_csv,seed,class_weights
20251115_153202,0.4066388993236429,0.843558282208589,0.8417646897507357,0.8417646897507357,0.843558282208589,0.843558282208589,0.843558282208589,9,7,10,64,700,3,0.0007,200,150,3;4;5;7,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,1668833362,Left:1.15,Right:1.15,Neutral:1.0
20251115_153838,0.40114720555170913,0.8564417177914111,0.856264756345471,0.856264756345471,0.8564417177914111,0.8564417177914111,0.8564417177914111,9,7,10,64,700,3,0.0007,200,150,3;4;5;7,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,797423172,Left:1.15,Right:1.15,Neutral:1.0
20251115_155400,0.40113196706966875,0.8503067484662576,0.8503407319214547,0.8503407319214547,0.8503067484662576,0.8503067484662576,0.8503067484662576,10,8,10,64,700,3,0.0007,200,150,3;4;5;7,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,118317779,Left:1.05,Right:1.20,Neutral:1.0
20251115_162920,0.41490360867148285,0.8537832310838446,0.8545699847303059,0.8545699847303059,0.8537832310838446,0.8537832310838446,0.8537832310838446,10,9,10,64,700,3,0.0007,200,150,3;4;5;7,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,1154345302,Left:1.15,Right:1.15,Neutral:1.0
20251115_163635,0.4367830142043607,0.8212678936605317,0.8193877897038635,0.8193877897038634,0.8212678936605317,0.8212678936605317,0.8212678936605317,6,4,10,64,700,3,0.0007,200,150,3;4;5;7,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,92305318,Left:1.15,Right:1.15,Neutral:1.0
20251115_164415,0.40384263939287035,0.8519427402862986,0.8521420167229339,0.8521420167229339,0.8519427402862986,0.8519427402862986,0.8519427402862986,8,6,10,32,700,3,0.0007,200,150,3;4;5;7,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,1228401491,Left:1.15,Right:1.15,Neutral:1.0
20251115_165058,0.4427018566853186,0.8376278118609407,0.8381612608666934,0.8381612608666935,0.8376278118609407,0.8376278118609407,0.8376278118609407,8,6,10,32,700,3,0.0007,200,150,3;4;5;7,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,1980085329,Left:1.15,Right:1.15,Neutral:1.0
20251115_170906,0.46752661341050894,0.8044989775051125,0.7983304529104043,0.7983304529104043,0.8044989775051125,0.8044989775051125,0.8044989775051125,4,2,10,64,700,3,0.0007,200,200,3;4;5;7,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,370123748,Left:1.15,Right:1.15,Neutral:1.0
20251115_171657,0.4029732669911258,0.841717791411043,0.8393624957720681,0.839362495772068,0.841717791411043,0.841717791411043,0.841717791411043,10,8,10,64,700,3,0.0007,200,200,3;4;5;7,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,1979300220,Left:1.15,Right:1.15,Neutral:1.0
20251115_172328,0.41803690042720004,0.8447852760736196,0.8439183222777338,0.8439183222777338,0.8447852760736196,0.8447852760736196,0.8447852760736196,10,8,10,64,700,3,0.0007,200,100,3;4;5;7,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,1771427530,Left:1.15,Right:1.15,Neutral:1.0
20251115_172821,0.47198919435707826,0.7903885480572597,0.7802545581235707,0.7802545581235708,0.7903885480572597,0.7903885480572597,0.7903885480572597,5,3,12,64,700,3,0.0007,200,100,3;4;5;7,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,1554536168,Left:1.20,Right:1.20,Neutral:1.0
20251115_173637,0.41487120883596457,0.852760736196319,0.852577129531312,0.8525771295313122,0.852760736196319,0.852760736196319,0.852760736196319,10,8,12,64,700,3,0.0007,200,100,3;4;5;7,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,157183171,Left:1.10,Right:1.20,Neutral:1.0
20251115_174518,0.41675578049843054,0.8501022494887526,0.8502830562318892,0.850283056231889,0.8501022494887526,0.8501022494887526,0.8501022494887526,12,10,12,64,700,3,0.0007,200,100,3;4;5;7,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,811472394,Left:1.10,Right:1.20,Neutral:1.0
20251115_175024,0.40483525217432675,0.8566462167689162,0.8565847152460503,0.8565847152460503,0.8566462167689162,0.8566462167689162,0.8566462167689162,11,9,12,64,700,3,0.0007,200,100,3;4;5;7,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,2109270300,Left:1.10,Right:1.20,Neutral:1.0
20251115_175900,0.4018594927095441,0.8548057259713702,0.8547684510037388,0.8547684510037387,0.8548057259713702,0.8548057259713702,0.8548057259713702,11,9,12,64,700,3,0.0007,200,100,3;4;5;7,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,453995297,Left:1.10,Right:1.20,Neutral:1.0
20251123_122505,0.4012036056240643,0.8517382413087935,0.8514733537539079,0.8514733537539079,0.8517382413087935,0.8517382413087935,0.8517382413087935,12,10,12,64,700,3,0.0007,200,100,3;4;5;7,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,260924040,Left:1.10,Right:1.20,Neutral:1.0
20251123_134831,0.41575555639886175,0.8494887525562372,0.8492469129078725,0.8492469129078726,0.8494887525562372,0.8494887525562372,0.8494887525562372,11,9,12,64,700,3,0.0007,200,100,3;4;5;7,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,289766209,Left:1.10,Right:1.20,Neutral:1.020251123_140344,0.39920229852077665,0.8503067484662576,0.849621233517829,0.8496212335178291,0.8503067484662576,0.8503067484662576,0.8503067484662576,10,8,12,64,700,3,0.0007,200,100,3;4;5;7,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,546985721,"Left:1.10,Right:1.20,Neutral:1.0"
20251123_141355,0.4091373263692563,0.8537832310838446,0.8535543948353967,0.8535543948353969,0.8537832310838446,0.8537832310838446,0.8537832310838446,12,10,12,64,700,3,0.0007,200,100,3;4;5;7,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,320158567,"Left:1.10,Right:1.20,Neutral:1.0"
20251123_155724,0.3969970121461677,0.8517382413087935,0.8518749872147261,0.8518749872147261,0.8517382413087935,0.8517382413087935,0.8517382413087935,11,9,12,64,700,3,0.0007,200,100,3;4;5;7,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,1195551688,"Left:1.10,Right:1.20,Neutral:1.0"
